Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,001,Survey of Art & Arch,0.44,0.42,0.11,0.0,0.0,0.0,0.0,0.02,beth ann lauritis,False,AAH-1010,2014
AAH,2050,001,Art History and Theo,0.86,0.11,0.0,0.0,0.0,0.0,0.0,0.04,beth ann lauritis,False,AAH-2050,2014
AAH,2100,400,Intro to Art and Arc,0.23,0.42,0.12,0.12,0.08,0.0,0.0,0.04,lydia jane dorsey,False,AAH-2100,2014
AAH,2100,401,Intro to Art and Arc,0.45,0.34,0.14,0.07,0.0,0.0,0.0,0.0,lydia jane dorsey,False,AAH-2100,2014
AAH,2100,402,Intro to Art and Arc,0.28,0.4,0.16,0.08,0.0,0.0,0.0,0.08,lydia jane dorsey,False,AAH-2100,2014
AAH,2100,403,Intro to Art and Arc,0.39,0.43,0.0,0.04,0.07,0.0,0.0,0.07,lydia jane dorsey,False,AAH-2100,2014
AAH,3050,001,Contemporary Art His,0.6,0.2,0.13,0.0,0.0,0.0,0.0,0.07,andrea feeser,False,AAH-3050,2014
ACCT,2010,001,Financial Accounting,0.04,0.22,0.3,0.02,0.15,0.0,0.0,0.26,philip maiberger,False,ACCT-2010,2014
ACCT,2010,002,Financial Accounting,0.13,0.3,0.28,0.09,0.04,0.0,0.0,0.17,philip maiberger,False,ACCT-2010,2014
ACCT,2010,003,Financial Accounting,0.19,0.22,0.22,0.08,0.1,0.0,0.0,0.18,suzanne pearse,False,ACCT-2010,2014
ACCT,2010,004,Financial Accounting,0.3,0.3,0.2,0.05,0.07,0.0,0.0,0.09,suzanne pearse,False,ACCT-2010,2014
ACCT,2010,005,Fin Acct Concepts (H,0.63,0.37,0.0,0.0,0.0,0.0,0.0,0.0,the estate  guffey,True,ACCT-2010,2014
ACCT,2010,006,Financial Accounting,0.24,0.33,0.24,0.07,0.05,0.0,0.0,0.07,annieka philo,False,ACCT-2010,2014
ACCT,2010,007,Financial Accounting,0.24,0.27,0.11,0.08,0.16,0.0,0.0,0.14,lydia lan schleifer,False,ACCT-2010,2014
ACCT,2010,008,Financial Accounting,0.24,0.33,0.14,0.04,0.1,0.0,0.0,0.14,lydia lan schleifer,False,ACCT-2010,2014
ACCT,2010,009,Financial Accounting,0.12,0.34,0.24,0.07,0.1,0.0,0.0,0.12,annieka philo,False,ACCT-2010,2014
ACCT,2010,010,Financial Accounting,0.26,0.13,0.26,0.08,0.05,0.0,0.0,0.23,lydia lan schleifer,False,ACCT-2010,2014
ACCT,2010,011,Financial Accounting,0.2,0.18,0.25,0.15,0.05,0.0,0.0,0.18,james mil kohlmeyer,False,ACCT-2010,2014
ACCT,2010,012,Financial Accounting,0.27,0.24,0.27,0.12,0.02,0.0,0.0,0.07,james mil kohlmeyer,False,ACCT-2010,2014
ACCT,2010,013,Financial Accounting,0.19,0.43,0.16,0.1,0.03,0.0,0.0,0.09,the estate  guffey,False,ACCT-2010,2014
ACCT,2010,014,Financial Accounting,0.09,0.31,0.2,0.13,0.09,0.0,0.0,0.19,jeffrey mcmillan,False,ACCT-2010,2014
ACCT,2010,015,Financial Accounting,0.03,0.28,0.23,0.15,0.17,0.0,0.0,0.13,james mil kohlmeyer,False,ACCT-2010,2014
ACCT,2020,001,Managerial Accountin,0.18,0.31,0.2,0.06,0.08,0.0,0.0,0.18,henry anderson,False,ACCT-2020,2014
ACCT,2020,002,Managerial Accountin,0.23,0.28,0.19,0.04,0.09,0.0,0.0,0.17,henry anderson,False,ACCT-2020,2014
ACCT,2020,003,Managerial Accountin,0.17,0.37,0.25,0.1,0.06,0.0,0.0,0.06,annieka philo,False,ACCT-2020,2014
ACCT,2020,004,Managerial Accountin,0.24,0.27,0.25,0.12,0.08,0.0,0.0,0.04,annieka philo,False,ACCT-2020,2014
ACCT,2020,006,Managerial Accountin,0.57,0.22,0.14,0.0,0.02,0.0,0.0,0.06,sarah martin,False,ACCT-2020,2014
ACCT,2020,007,Managerial Accountin,0.14,0.21,0.31,0.03,0.12,0.0,0.0,0.21,henry anderson,False,ACCT-2020,2014
ACCT,2020,008,Managerial Accountin,0.67,0.27,0.0,0.0,0.0,0.0,0.0,0.07,sarah martin,False,ACCT-2020,2014
ACCT,2040,001,Accounting Procedure,0.53,0.25,0.08,0.02,0.02,0.0,0.0,0.11,jeffrey mcmillan,False,ACCT-2040,2014
ACCT,2040,002,Accounting Procedure,0.37,0.25,0.14,0.02,0.03,0.0,0.0,0.19,jeffrey mcmillan,False,ACCT-2040,2014
ACCT,3030,001,Cost Accounting,0.31,0.24,0.28,0.0,0.03,0.0,0.0,0.14,henry anderson,False,ACCT-3030,2014
ACCT,3030,002,Cost Accounting,0.22,0.35,0.22,0.05,0.11,0.0,0.0,0.05,henry anderson,False,ACCT-3030,2014
ACCT,3030,003,Cost Accounting,0.38,0.28,0.23,0.0,0.05,0.0,0.0,0.05,robin radtke,False,ACCT-3030,2014
ACCT,3030,005,Cost Accounting,0.28,0.35,0.13,0.03,0.1,0.0,0.0,0.13,robin radtke,False,ACCT-3030,2014
ACCT,3110,001,Intermed Financial A,0.5,0.31,0.13,0.06,0.0,0.0,0.0,0.0,terry daniel knause,False,ACCT-3110,2014
ACCT,3110,002,Intermed Financial A,0.51,0.36,0.05,0.03,0.03,0.0,0.0,0.03,terry daniel knause,False,ACCT-3110,2014
ACCT,3110,003,Intermed Financial A,0.38,0.23,0.28,0.05,0.0,0.0,0.0,0.05,terry daniel knause,False,ACCT-3110,2014
ACCT,3110,005,Intermed Financial A,0.35,0.32,0.19,0.05,0.0,0.0,0.0,0.08,terry daniel knause,False,ACCT-3110,2014
ACCT,3120,001,Intermed Financial A,0.03,0.18,0.41,0.21,0.09,0.0,0.0,0.09,brian todd carver,False,ACCT-3120,2014
ACCT,3120,002,Intermed Financial A,0.17,0.3,0.26,0.09,0.07,0.0,0.0,0.11,suzanne pearse,False,ACCT-3120,2014
ACCT,3120,003,Intermed Financial A,0.05,0.18,0.37,0.18,0.08,0.0,0.0,0.13,brian todd carver,False,ACCT-3120,2014
ACCT,3120,004,Intermed Financial A,0.09,0.31,0.36,0.16,0.02,0.0,0.0,0.07,suzanne pearse,False,ACCT-3120,2014
ACCT,3130,001,Intermed Financial A,0.17,0.42,0.42,0.0,0.0,0.0,0.0,0.0, russell madray,False,ACCT-3130,2014
ACCT,3130,002,Intermed Financial A,0.19,0.47,0.22,0.06,0.0,0.0,0.0,0.06, russell madray,False,ACCT-3130,2014
ACCT,3130,003,Intermed Financial A,0.21,0.47,0.24,0.0,0.05,0.0,0.0,0.03, russell madray,False,ACCT-3130,2014
ACCT,3130,005,Intermed Financial A,0.18,0.24,0.42,0.05,0.05,0.0,0.0,0.05, russell madray,False,ACCT-3130,2014
ACCT,3220,001,Accounting Informati,0.21,0.26,0.31,0.08,0.05,0.0,0.0,0.1,philip maiberger,False,ACCT-3220,2014
ACCT,3220,002,Accounting Informati,0.15,0.41,0.08,0.13,0.08,0.0,0.0,0.15,philip maiberger,False,ACCT-3220,2014
ACCT,3220,003,Accounting Informati,0.2,0.55,0.15,0.0,0.05,0.0,0.0,0.05,nancy lee harp,False,ACCT-3220,2014
ACCT,4040,002,Individual Taxation,0.36,0.36,0.24,0.02,0.0,0.0,0.0,0.02,derek dalton,False,ACCT-4040,2014
