Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,1,Survey of Art & Arch History I,0.5,0.35,0.11,0.0,0.01,0.0,0.0,0.04,beth ann lauritis,False,AAH-1010,2015
AAH,2050,1,Art History and Theory I,0.86,0.14,0.0,0.0,0.0,0.0,0.0,0.0,beth ann lauritis,False,AAH-2050,2015
AAH,3050,1,Contemporary Art History,0.89,0.06,0.0,0.06,0.0,0.0,0.0,0.0,andrea feeser,False,AAH-3050,2015
ACCT,2010,1,Financial Accounting Concepts,0.11,0.23,0.26,0.11,0.13,0.0,0.0,0.17,philip maiberger,False,ACCT-2010,2015
ACCT,2010,2,Financial Accounting Concepts,0.13,0.4,0.3,0.06,0.0,0.0,0.0,0.11,philip maiberger,False,ACCT-2010,2015
ACCT,2010,3,Financial Accounting Concepts,0.41,0.23,0.13,0.05,0.03,0.0,0.0,0.15,lydia lan schleifer,False,ACCT-2010,2015
ACCT,2010,4,Financial Accounting Concepts,0.32,0.43,0.14,0.03,0.08,0.0,0.0,0.0,annieka philo,False,ACCT-2010,2015
ACCT,2010,5,Financial Accounting Concepts,0.26,0.24,0.13,0.08,0.11,0.0,0.0,0.18,lydia lan schleifer,False,ACCT-2010,2015
ACCT,2010,6,Financial Accounting Concepts,0.2,0.27,0.17,0.03,0.07,0.0,0.0,0.27,the estate  guffey,False,ACCT-2010,2015
ACCT,2010,7,Financial Accounting Concepts,0.33,0.43,0.1,0.12,0.0,0.0,0.0,0.02,annieka philo,False,ACCT-2010,2015
ACCT,2010,8,Financial Accounting Concepts,0.1,0.36,0.36,0.03,0.1,0.0,0.0,0.05,philip maiberger,False,ACCT-2010,2015
ACCT,2010,9,Financial Accounting Concepts,0.2,0.28,0.25,0.05,0.15,0.0,0.0,0.08,lydia lan schleifer,False,ACCT-2010,2015
ACCT,2010,10,Financial Accounting Concepts,0.41,0.32,0.14,0.05,0.09,0.0,0.0,0.0,annieka philo,False,ACCT-2010,2015
ACCT,2010,11,Financial Accounting Concepts,0.05,0.45,0.21,0.1,0.1,0.0,0.0,0.1,the estate  guffey,False,ACCT-2010,2015
ACCT,2010,12,Financial Accounting Concepts,0.21,0.37,0.15,0.03,0.09,0.0,0.0,0.16,james mil kohlmeyer,False,ACCT-2010,2015
ACCT,2010,13,Financial Accounting Concepts,0.13,0.53,0.16,0.0,0.08,0.0,0.0,0.11,mary ann  prater,False,ACCT-2010,2015
ACCT,2010,14,Financial Accounting Concepts,0.13,0.56,0.17,0.06,0.06,0.0,0.0,0.04,james mil kohlmeyer,False,ACCT-2010,2015
ACCT,2010,100,Fin Accounting Concepts (HON),0.68,0.32,0.0,0.0,0.0,0.0,0.0,0.0,the estate  guffey,True,ACCT-2010,2015
ACCT,2010,400,Financial Accounting Concepts,0.15,0.27,0.25,0.14,0.13,0.0,0.0,0.07,jeffrey mcmillan,False,ACCT-2010,2015
ACCT,2020,1,Managerial Accounting Concepts,0.14,0.14,0.24,0.12,0.07,0.0,0.0,0.29,henry anderson,False,ACCT-2020,2015
ACCT,2020,2,Managerial Accounting Concepts,0.23,0.34,0.21,0.02,0.09,0.0,0.0,0.11,henry anderson,False,ACCT-2020,2015
ACCT,2020,3,Managerial Accounting Concepts,0.26,0.32,0.19,0.08,0.09,0.0,0.0,0.06,holly rhiannio hawk,False,ACCT-2020,2015
ACCT,2020,4,Managerial Accounting Concepts,0.14,0.41,0.24,0.14,0.08,0.0,0.0,0.0,holly rhiannio hawk,False,ACCT-2020,2015
ACCT,2020,5,Managerial Accounting Concepts,0.37,0.28,0.28,0.02,0.06,0.0,0.0,0.0,tonya dionne smalls,False,ACCT-2020,2015
ACCT,2020,6,Managerial Accounting Concepts,0.37,0.24,0.18,0.02,0.12,0.0,0.0,0.08,tonya dionne smalls,False,ACCT-2020,2015
ACCT,2020,400,Managerial Accounting Concepts,0.18,0.15,0.18,0.09,0.08,0.0,0.0,0.31,henry anderson,False,ACCT-2020,2015
ACCT,3030,1,Cost Accounting,0.18,0.52,0.18,0.0,0.02,0.0,0.0,0.11,holly rhiannio hawk,False,ACCT-3030,2015
ACCT,3030,2,Cost Accounting,0.33,0.42,0.07,0.0,0.09,0.0,0.0,0.09,holly rhiannio hawk,False,ACCT-3030,2015
ACCT,3030,3,Cost Accounting,0.22,0.43,0.22,0.07,0.04,0.0,0.0,0.02,jace garrett,False,ACCT-3030,2015
ACCT,3030,4,Cost Accounting,0.16,0.6,0.16,0.0,0.0,0.0,0.0,0.09,jace garrett,False,ACCT-3030,2015
ACCT,3110,1,Intermediate Financial Acct I,0.18,0.42,0.24,0.03,0.11,0.0,0.0,0.03,terry daniel knause,False,ACCT-3110,2015
ACCT,3110,2,Intermediate Financial Acct I,0.35,0.26,0.21,0.06,0.06,0.0,0.0,0.06,terry daniel knause,False,ACCT-3110,2015
ACCT,3110,3,Intermediate Financial Acct I,0.23,0.38,0.15,0.1,0.1,0.0,0.0,0.03,terry daniel knause,False,ACCT-3110,2015
ACCT,3110,4,Intermediate Financial Acct I,0.33,0.4,0.18,0.05,0.03,0.0,0.0,0.03,terry daniel knause,False,ACCT-3110,2015
ACCT,3110,5,Intermediate Financial Acct I,0.23,0.46,0.21,0.05,0.03,0.0,0.0,0.03, russell madray,False,ACCT-3110,2015
ACCT,3110,400,Intermediate Financial Acct I,0.08,0.21,0.38,0.13,0.08,0.0,0.0,0.13, russell madray,False,ACCT-3110,2015
ACCT,3120,1,Intermediate Financial Acct II,0.07,0.21,0.32,0.21,0.14,0.0,0.0,0.04,brian todd carver,False,ACCT-3120,2015
ACCT,3120,2,Intermediate Financial Acct II,0.08,0.28,0.38,0.13,0.08,0.0,0.0,0.05,brian todd carver,False,ACCT-3120,2015
ACCT,3120,3,Intermediate Financial Acct II,0.15,0.28,0.38,0.1,0.05,0.0,0.0,0.03,jeremy micha vinson,False,ACCT-3120,2015
ACCT,3120,4,Intermediate Financial Acct II,0.13,0.45,0.34,0.05,0.03,0.0,0.0,0.0,jeremy micha vinson,False,ACCT-3120,2015
ACCT,3120,5,Intermediate Financial Acct II,0.13,0.38,0.38,0.05,0.05,0.0,0.0,0.0,jeremy micha vinson,False,ACCT-3120,2015
ACCT,3130,1,Intermediate Fin Acct III,0.18,0.33,0.39,0.03,0.03,0.0,0.0,0.03, russell madray,False,ACCT-3130,2015
ACCT,3130,2,Intermediate Fin Acct III,0.37,0.43,0.17,0.0,0.0,0.0,0.0,0.03, russell madray,False,ACCT-3130,2015
ACCT,3130,3,Intermediate Fin Acct III,0.2,0.35,0.28,0.13,0.0,0.0,0.0,0.05,james irving,False,ACCT-3130,2015
ACCT,3130,4,Intermediate Fin Acct III,0.26,0.36,0.28,0.08,0.03,0.0,0.0,0.0, russell madray,False,ACCT-3130,2015
ACCT,3220,1,Accounting Information Systems,0.09,0.26,0.23,0.11,0.06,0.0,0.0,0.26,philip maiberger,False,ACCT-3220,2015
ACCT,3220,2,Accounting Information Systems,0.27,0.32,0.3,0.11,0.0,0.0,0.0,0.0,nancy lee harp,False,ACCT-3220,2015
ACCT,3220,3,Accounting Information Systems,0.11,0.35,0.3,0.11,0.05,0.0,0.0,0.08,nancy lee harp,False,ACCT-3220,2015
ACCT,4040,1,Individual Taxation,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,sarah martin,False,ACCT-4040,2015
ACCT,4040,2,Individual Taxation,0.75,0.2,0.05,0.0,0.0,0.0,0.0,0.0,sarah martin,False,ACCT-4040,2015
ACCT,4080,1,Retire & Estate Plan,0.44,0.28,0.28,0.0,0.0,0.0,0.0,0.0,john hine,False,ACCT-4080,2015
ACCT,4100,1,Reporting and Mgmt Control Sys,0.31,0.46,0.13,0.08,0.0,0.0,0.0,0.03,sally kathr widener,False,ACCT-4100,2015
ACCT,4100,2,Reporting and Mgmt Control Sys,0.5,0.42,0.08,0.0,0.0,0.0,0.0,0.0,sally kathr widener,False,ACCT-4100,2015
ACCT,4150,1,Auditing,0.17,0.4,0.31,0.11,0.0,0.0,0.0,0.0,carl hollingsworth,False,ACCT-4150,2015
ACCT,4150,2,Auditing,0.21,0.29,0.29,0.12,0.03,0.0,0.0,0.06,carl hollingsworth,False,ACCT-4150,2015
ACCT,8510,1,Tax Research,0.27,0.7,0.03,0.0,0.0,0.0,0.0,0.0,thomas dickens,False,ACCT-8510,2015
ACCT,8510,2,Tax Research,0.24,0.76,0.0,0.0,0.0,0.0,0.0,0.0,thomas dickens,False,ACCT-8510,2015
ACCT,8510,3,Tax Research,0.26,0.71,0.03,0.0,0.0,0.0,0.0,0.0,thomas dickens,False,ACCT-8510,2015
ACCT,8530,1,Adv Acct Problems,0.66,0.28,0.07,0.0,0.0,0.0,0.0,0.0,ralph welton,False,ACCT-8530,2015
ACCT,8530,2,Adv Acct Problems,0.39,0.42,0.13,0.0,0.0,0.0,0.0,0.06,ralph welton,False,ACCT-8530,2015
ACCT,8530,3,Adv Acct Problems,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,suzanne pearse,False,ACCT-8530,2015
ACCT,8550,1,Gov't and Nonprofit Accounting,0.68,0.32,0.0,0.0,0.0,0.0,0.0,0.0,james barnes,False,ACCT-8550,2015
ACCT,8550,2,Gov't and Nonprofit Accounting,0.58,0.35,0.08,0.0,0.0,0.0,0.0,0.0,james barnes,False,ACCT-8550,2015
