Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,1.0,Survey of Art & Arch Hist II,0.5,0.42,0.05,0.0,0.0,0.0,0.0,0.01,beth ann lauritis,False,AAH-1020,2022
AAH,2060,1.0,Art History and Theory II,0.88,0.06,0.06,0.0,0.0,0.0,0.0,0.0,andrea feeser,False,AAH-2060,2022
ACCT,2010,1.0,Financial Accounting Conc,0.45,0.2,0.13,0.09,0.11,0.0,0.0,0.02,lydia schleifer,False,ACCT-2010,2022
ACCT,2010,2.0,Financial Accounting Conc,0.55,0.22,0.09,0.02,0.09,0.0,0.0,0.03,lydia schleifer,False,ACCT-2010,2022
ACCT,2010,3.0,Financial Accounting Conc,0.25,0.29,0.15,0.09,0.09,0.0,0.0,0.13,michael mcguigan,False,ACCT-2010,2022
ACCT,2010,4.0,Financial Accounting Conc,0.44,0.22,0.18,0.07,0.07,0.0,0.0,0.02,michael mcguigan,False,ACCT-2010,2022
ACCT,2010,5.0,Financial Accounting Conc,0.38,0.24,0.26,0.02,0.04,0.0,0.0,0.06,julie grant,False,ACCT-2010,2022
ACCT,2010,6.0,Financial Accounting Conc,0.28,0.26,0.36,0.06,0.02,0.0,0.0,0.02,julie grant,False,ACCT-2010,2022
ACCT,2010,7.0,Financial Accounting Conc,0.26,0.3,0.3,0.04,0.04,0.0,0.0,0.04,julie grant,False,ACCT-2010,2022
ACCT,2010,8.0,Financial Accounting Conc,0.32,0.33,0.14,0.12,0.04,0.0,0.0,0.05,julie grant,False,ACCT-2010,2022
ACCT,2010,9.0,Financial Accounting Conc,0.49,0.26,0.16,0.07,0.02,0.0,0.0,0.0,lydia schleifer,False,ACCT-2010,2022
ACCT,2010,10.0,Financial Accounting Conc,0.36,0.33,0.24,0.02,0.05,0.0,0.0,0.0,charles tegen,False,ACCT-2010,2022
ACCT,2010,11.0,Financial Accounting Conc,0.1,0.35,0.26,0.09,0.06,0.0,0.0,0.13, russell madray,False,ACCT-2010,2022
ACCT,2010,12.0,Financial Accounting Conc,0.13,0.3,0.27,0.13,0.04,0.0,0.0,0.12, russell madray,False,ACCT-2010,2022
ACCT,2010,13.0,Financial Accounting Conc,0.2,0.34,0.2,0.11,0.11,0.0,0.0,0.05,jeffrey mcmillan,False,ACCT-2010,2022
ACCT,2010,14.0,Financial Accounting Conc,0.23,0.3,0.34,0.04,0.05,0.0,0.0,0.04,jeffrey mcmillan,False,ACCT-2010,2022
ACCT,2010,107.0,Fin Acct Concepts (HON),0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,julie grant,True,ACCT-2010,2022
ACCT,2010,400.0,Financial Accounting Conc,0.21,0.24,0.37,0.13,0.01,0.0,0.0,0.04,emily mccorkle,False,ACCT-2010,2022
ACCT,2010,401.0,Financial Accounting Conc,0.07,0.36,0.14,0.12,0.13,0.0,0.0,0.17, russell madray,False,ACCT-2010,2022
ACCT,2020,1.0,Managerial Accounting Co,0.14,0.17,0.23,0.11,0.11,0.0,0.0,0.25,brian todd carver,False,ACCT-2020,2022
ACCT,2020,2.0,Managerial Accounting Co,0.44,0.29,0.15,0.04,0.0,0.0,0.0,0.08,david garrison ,False,ACCT-2020,2022
ACCT,2020,3.0,Managerial Accounting Co,0.45,0.38,0.15,0.0,0.0,0.0,0.0,0.02,david garrison ,False,ACCT-2020,2022
ACCT,2020,4.0,Managerial Accounting Co,0.51,0.3,0.04,0.09,0.0,0.0,0.0,0.06,david garrison ,False,ACCT-2020,2022
ACCT,2020,5.0,Managerial Accounting Co,0.4,0.38,0.16,0.02,0.04,0.0,0.0,0.0,david garrison ,False,ACCT-2020,2022
ACCT,2020,101.0,Mgr Acct Concepts (HON),0.33,0.58,0.08,0.0,0.0,0.0,0.0,0.0,emily mccorkle,True,ACCT-2020,2022
ACCT,2020,400.0,Managerial Accounting Co,0.31,0.24,0.29,0.13,0.02,0.0,0.0,0.02,emily mccorkle,False,ACCT-2020,2022
ACCT,2020,401.0,Managerial Accounting Co,0.21,0.38,0.24,0.12,0.03,0.0,0.0,0.02,emily mccorkle,False,ACCT-2020,2022
ACCT,2020,402.0,Managerial Accounting Co,0.26,0.39,0.15,0.08,0.06,0.0,0.0,0.05,emily mccorkle,False,ACCT-2020,2022
ACCT,3030,1.0,Cost Accounting,0.19,0.38,0.21,0.07,0.12,0.0,0.0,0.02,brian todd carver,False,ACCT-3030,2022
ACCT,3030,2.0,Cost Accounting,0.23,0.19,0.37,0.07,0.02,0.0,0.0,0.12,brian todd carver,False,ACCT-3030,2022
ACCT,3030,3.0,Cost Accounting,0.33,0.38,0.17,0.07,0.05,0.0,0.0,0.0,robin radtke,False,ACCT-3030,2022
ACCT,3030,4.0,Cost Accounting,0.24,0.44,0.27,0.02,0.0,0.0,0.0,0.02,robin radtke,False,ACCT-3030,2022
ACCT,3030,5.0,Cost Accounting,0.24,0.39,0.24,0.11,0.03,0.0,0.0,0.0,jace garrett,False,ACCT-3030,2022
ACCT,3030,6.0,Cost Accounting,0.19,0.4,0.29,0.05,0.0,0.0,0.0,0.07,jace garrett,False,ACCT-3030,2022
ACCT,3110,1.0,Intermediate Financial Acc,0.18,0.42,0.29,0.03,0.0,0.0,0.0,0.08,annieka philo,False,ACCT-3110,2022
ACCT,3110,2.0,Intermediate Financial Acc,0.24,0.47,0.21,0.08,0.0,0.0,0.0,0.0,annieka philo,False,ACCT-3110,2022
ACCT,3110,3.0,Intermediate Financial Acc,0.18,0.45,0.13,0.13,0.03,0.0,0.0,0.08,annieka philo,False,ACCT-3110,2022
ACCT,3110,4.0,Intermediate Financial Acc,0.35,0.35,0.16,0.05,0.05,0.0,0.0,0.03,annieka philo,False,ACCT-3110,2022
ACCT,3110,5.0,Intermediate Financial Acc,0.13,0.39,0.34,0.11,0.0,0.0,0.0,0.03,brian goodson,False,ACCT-3110,2022
ACCT,3110,6.0,Intermediate Financial Acc,0.13,0.38,0.41,0.05,0.0,0.0,0.0,0.03,brian goodson,False,ACCT-3110,2022
ACCT,3110,7.0,Intermediate Financial Acc,0.17,0.33,0.33,0.03,0.06,0.0,0.0,0.08,amy donnelly,False,ACCT-3110,2022
ACCT,3110,8.0,Intermediate Financial Acc,0.0,0.39,0.32,0.23,0.06,0.0,0.0,0.0,amy donnelly,False,ACCT-3110,2022
ACCT,3110,9.0,Intermediate Financial Acc,0.03,0.16,0.22,0.22,0.27,0.0,0.0,0.11,philip maiberger,False,ACCT-3110,2022
ACCT,3110,108.0,Intermediate Fin Acct I (HO,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,amy donnelly,True,ACCT-3110,2022
ACCT,3120,1.0,Intermediate Financial Acc,0.27,0.56,0.12,0.0,0.02,0.0,0.0,0.02,mary gibson,False,ACCT-3120,2022
ACCT,3120,2.0,Intermediate Financial Acc,0.28,0.44,0.19,0.07,0.02,0.0,0.0,0.0,mary gibson,False,ACCT-3120,2022
ACCT,3120,3.0,Intermediate Financial Acc,0.16,0.41,0.24,0.03,0.03,0.0,0.0,0.14,terry daniel knause,False,ACCT-3120,2022
ACCT,3120,4.0,Intermediate Financial Acc,0.38,0.41,0.15,0.0,0.03,0.0,0.0,0.03,terry daniel knause,False,ACCT-3120,2022
ACCT,3120,5.0,Intermediate Financial Acc,0.3,0.25,0.35,0.03,0.05,0.0,0.0,0.03,terry daniel knause,False,ACCT-3120,2022
ACCT,3120,6.0,Intermediate Financial Acc,0.36,0.38,0.15,0.05,0.05,0.0,0.0,0.0,terry daniel knause,False,ACCT-3120,2022
ACCT,3120,104.0,Intermed Fin Acct II (HON),0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,terry daniel knause,True,ACCT-3120,2022
ACCT,3130,1.0,Analytics for Acct Dec Mak,0.35,0.26,0.35,0.03,0.0,0.0,0.0,0.0,babak mammadov,False,ACCT-3130,2022
ACCT,3130,2.0,Analytics for Acct Dec Mak,0.31,0.31,0.27,0.0,0.04,0.0,0.0,0.08,babak mammadov,False,ACCT-3130,2022
ACCT,3130,3.0,Analytics for Acct Dec Mak,0.21,0.48,0.14,0.07,0.07,0.0,0.0,0.03,phebian davis-culler,False,ACCT-3130,2022
ACCT,3130,4.0,Analytics for Acct Dec Mak,0.29,0.26,0.29,0.06,0.06,0.0,0.0,0.03,phebian davis-culler,False,ACCT-3130,2022
