Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,1.0,Survey of Art & Arch Histor,0.3,0.49,0.15,0.01,0.02,0.0,0.0,0.01,beth ann lauritis,False,AAH-1010,2021
AAH,2050,1.0,Art History and Theory I,0.87,0.1,0.0,0.0,0.0,0.0,0.0,0.03,beth ann lauritis,False,AAH-2050,2021
AAH,3050,1.0,Contemporary Art History,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,andrea feeser,False,AAH-3050,2021
ACCT,2010,1.0,Financial Accounting Conc,0.44,0.33,0.1,0.05,0.03,0.0,0.0,0.03,lydia schleifer,False,ACCT-2010,2021
ACCT,2010,2.0,Financial Accounting Conc,0.46,0.28,0.23,0.0,0.0,0.0,0.0,0.03,lydia schleifer,False,ACCT-2010,2021
ACCT,2010,3.0,Financial Accounting Conc,0.25,0.4,0.18,0.08,0.05,0.0,0.0,0.03,michael mcguigan,False,ACCT-2010,2021
ACCT,2010,4.0,Financial Accounting Conc,0.37,0.35,0.22,0.03,0.02,0.0,0.0,0.02,michael mcguigan,False,ACCT-2010,2021
ACCT,2010,5.0,Financial Accounting Conc,0.25,0.38,0.18,0.05,0.05,0.0,0.0,0.1,julie grant,False,ACCT-2010,2021
ACCT,2010,6.0,Financial Accounting Conc,0.4,0.35,0.15,0.05,0.03,0.0,0.0,0.03,julie grant,False,ACCT-2010,2021
ACCT,2010,7.0,Financial Accounting Conc,0.23,0.15,0.31,0.19,0.08,0.0,0.0,0.04,annieka philo,False,ACCT-2010,2021
ACCT,2010,8.0,Financial Accounting Conc,0.23,0.3,0.3,0.08,0.05,0.0,0.0,0.05,annieka philo,False,ACCT-2010,2021
ACCT,2010,9.0,Financial Accounting Conc,0.4,0.35,0.1,0.03,0.08,0.0,0.0,0.05,julie grant,False,ACCT-2010,2021
ACCT,2010,10.0,Financial Accounting Conc,0.32,0.27,0.24,0.08,0.03,0.0,0.0,0.05,julie grant,False,ACCT-2010,2021
ACCT,2010,11.0,Financial Accounting Conc,0.28,0.35,0.13,0.13,0.05,0.0,0.0,0.08,annieka philo,False,ACCT-2010,2021
ACCT,2010,12.0,Financial Accounting Conc,0.51,0.27,0.14,0.05,0.0,0.0,0.0,0.02,lydia schleifer,False,ACCT-2010,2021
ACCT,2010,13.0,Financial Accounting Conc,0.21,0.45,0.19,0.09,0.0,0.0,0.0,0.07,jeffrey mcmillan,False,ACCT-2010,2021
ACCT,2010,14.0,Financial Accounting Conc,0.23,0.39,0.18,0.14,0.05,0.0,0.0,0.02,carl hollingsworth,False,ACCT-2010,2021
ACCT,2010,15.0,Financial Accounting Conc,0.36,0.32,0.24,0.03,0.02,0.0,0.0,0.03,charles tegen,False,ACCT-2010,2021
ACCT,2010,16.0,Financial Accounting Conc,0.39,0.33,0.19,0.02,0.0,0.0,0.0,0.07,charles tegen,False,ACCT-2010,2021
ACCT,2010,17.0,Financial Accounting Conc,0.15,0.26,0.33,0.15,0.05,0.0,0.0,0.05,brian todd carver,False,ACCT-2010,2021
ACCT,2010,107.0,Fin Accounting Concepts (,0.86,0.07,0.07,0.0,0.0,0.0,0.0,0.0,annieka philo,True,ACCT-2010,2021
ACCT,2010,400.0,Financial Accounting Conc,0.21,0.2,0.2,0.11,0.02,0.0,0.0,0.27,jeffrey mcmillan,False,ACCT-2010,2021
ACCT,2010,401.0,Financial Accounting Conc,0.2,0.24,0.31,0.13,0.04,0.0,0.0,0.07,emily mccorkle,False,ACCT-2010,2021
ACCT,2010,402.0,Financial Accounting Conc,0.15,0.27,0.27,0.1,0.1,0.0,0.0,0.12,emily mccorkle,False,ACCT-2010,2021
ACCT,2020,1.0,Managerial Accounting Co,0.07,0.26,0.31,0.14,0.09,0.0,0.0,0.12,brian todd carver,False,ACCT-2020,2021
ACCT,2020,2.0,Managerial Accounting Co,0.12,0.2,0.31,0.18,0.08,0.0,0.0,0.1,brian todd carver,False,ACCT-2020,2021
ACCT,2020,3.0,Managerial Accounting Co,0.14,0.27,0.2,0.18,0.14,0.0,0.0,0.07,brian todd carver,False,ACCT-2020,2021
ACCT,2020,4.0,Managerial Accounting Co,0.12,0.22,0.41,0.1,0.08,0.0,0.0,0.06,phebian davis-culler,False,ACCT-2020,2021
ACCT,2020,5.0,Managerial Accounting Co,0.23,0.26,0.21,0.13,0.15,0.0,0.0,0.03,phebian davis-culler,False,ACCT-2020,2021
ACCT,2020,6.0,Managerial Accounting Co,0.14,0.26,0.29,0.17,0.07,0.0,0.0,0.07,phebian davis-culler,False,ACCT-2020,2021
ACCT,2020,102.0,Mgr Acct Concepts (HON),0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.13,brian todd carver,True,ACCT-2020,2021
ACCT,2020,400.0,Managerial Accounting Co,0.38,0.2,0.18,0.1,0.08,0.0,0.0,0.06,emily mccorkle,False,ACCT-2020,2021
ACCT,2020,401.0,Managerial Accounting Co,0.22,0.28,0.24,0.16,0.04,0.0,0.0,0.06,emily mccorkle,False,ACCT-2020,2021
ACCT,2020,402.0,Managerial Accounting Co,0.17,0.27,0.4,0.1,0.04,0.0,0.0,0.02,emily mccorkle,False,ACCT-2020,2021
ACCT,3030,1.0,Cost Accounting,0.22,0.41,0.2,0.02,0.02,0.0,0.0,0.12,jace garrett,False,ACCT-3030,2021
ACCT,3030,2.0,Cost Accounting,0.26,0.31,0.33,0.02,0.02,0.0,0.0,0.05,jace garrett,False,ACCT-3030,2021
ACCT,3030,3.0,Cost Accounting,0.24,0.5,0.17,0.05,0.05,0.0,0.0,0.0,daniel thomas way,False,ACCT-3030,2021
ACCT,3030,4.0,Cost Accounting,0.36,0.31,0.24,0.02,0.0,0.0,0.0,0.05,daniel thomas way,False,ACCT-3030,2021
ACCT,3030,5.0,Cost Accounting,0.38,0.36,0.21,0.05,0.0,0.0,0.0,0.0,daniel thomas way,False,ACCT-3030,2021
ACCT,3110,1.0,Intermediate Financial Acc,0.23,0.35,0.19,0.06,0.0,0.0,0.0,0.16,amy donnelly,False,ACCT-3110,2021
ACCT,3110,2.0,Intermediate Financial Acc,0.18,0.36,0.27,0.14,0.0,0.0,0.0,0.05,amy donnelly,False,ACCT-3110,2021
ACCT,3110,3.0,Intermediate Financial Acc,0.17,0.28,0.31,0.1,0.14,0.0,0.0,0.0,erin hawkins,False,ACCT-3110,2021
ACCT,3110,4.0,Intermediate Financial Acc,0.16,0.45,0.16,0.19,0.0,0.0,0.0,0.03,erin hawkins,False,ACCT-3110,2021
ACCT,3110,5.0,Intermediate Financial Acc,0.07,0.7,0.17,0.03,0.03,0.0,0.0,0.0, russell madray,False,ACCT-3110,2021
ACCT,3110,6.0,Intermediate Financial Acc,0.26,0.52,0.13,0.03,0.0,0.0,0.0,0.06, russell madray,False,ACCT-3110,2021
ACCT,3110,7.0,Intermediate Financial Acc,0.26,0.32,0.35,0.0,0.03,0.0,0.0,0.03, russell madray,False,ACCT-3110,2021
ACCT,3110,8.0,Intermediate Financial Acc,0.2,0.4,0.23,0.07,0.07,0.0,0.0,0.03, russell madray,False,ACCT-3110,2021
ACCT,3110,9.0,Intermediate Financial Acc,0.1,0.28,0.34,0.17,0.07,0.0,0.0,0.03,philip maiberger,False,ACCT-3110,2021
ACCT,3110,102.0,Intermediate Fin Acct I (HO,0.63,0.25,0.13,0.0,0.0,0.0,0.0,0.0,amy donnelly,True,ACCT-3110,2021
ACCT,3120,1.0,Intermediate Financial Acc,0.16,0.47,0.34,0.0,0.03,0.0,0.0,0.0,jeremy vinson,False,ACCT-3120,2021
ACCT,3120,2.0,Intermediate Financial Acc,0.3,0.33,0.28,0.05,0.05,0.0,0.0,0.0,jeremy vinson,False,ACCT-3120,2021
ACCT,3120,3.0,Intermediate Financial Acc,0.25,0.25,0.28,0.0,0.0,0.0,0.0,0.22,terry daniel knause,False,ACCT-3120,2021
ACCT,3120,4.0,Intermediate Financial Acc,0.48,0.34,0.07,0.07,0.0,0.0,0.0,0.03,terry daniel knause,False,ACCT-3120,2021
ACCT,3120,5.0,Intermediate Financial Acc,0.32,0.29,0.26,0.0,0.0,0.0,0.0,0.12,terry daniel knause,False,ACCT-3120,2021
ACCT,3120,6.0,Intermediate Financial Acc,0.42,0.36,0.08,0.0,0.0,0.0,0.0,0.11,terry daniel knause,False,ACCT-3120,2021
ACCT,3120,104.0,Intermediate Fin Acct II (H,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,terry daniel knause,True,ACCT-3120,2021
ACCT,3130,1.0,Analytics for Acct Dec Mak,0.65,0.26,0.1,0.0,0.0,0.0,0.0,0.0,james barnes,False,ACCT-3130,2021
ACCT,3130,2.0,Analytics for Acct Dec Mak,0.56,0.34,0.09,0.0,0.0,0.0,0.0,0.0,james barnes,False,ACCT-3130,2021
ACCT,3130,3.0,Analytics for Acct Dec Mak,0.74,0.23,0.0,0.03,0.0,0.0,0.0,0.0,james barnes,False,ACCT-3130,2021
ACCT,3130,4.0,Analytics for Acct Dec Mak,0.31,0.31,0.17,0.21,0.0,0.0,0.0,0.0,babak mammadov,False,ACCT-3130,2021
ACCT,3130,5.0,Analytics for Acct Dec Mak,0.07,0.47,0.33,0.1,0.03,0.0,0.0,0.0,babak mammadov,False,ACCT-3130,2021
