Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year,NameProcessed
ACCT,3110,4,Intermediate Financial Acct I,0.29,0.33,0.31,0.07,0.0,0.0,0.0,0.0,amy melissa donnelly,False,ACCT-3110,2018,True
ACCT,3110,401,Intermediate Financial Acct I,0.49,0.27,0.08,0.06,0.02,0.0,0.0,0.08,henry anderson,False,ACCT-3110,2018,True
ACCT,3120,1,Intermediate Financial Acct II,0.0,0.18,0.45,0.18,0.18,0.0,0.0,0.0,jeremy michae vinson,False,ACCT-3120,2018,True
ACCT,3120,2,Intermediate Financial Acct II,0.32,0.36,0.25,0.05,0.0,0.0,0.0,0.02,terry daniel knause,False,ACCT-3120,2018,True
ACCT,3120,3,Intermediate Financial Acct II,0.23,0.39,0.27,0.09,0.02,0.0,0.0,0.0,jeremy michae vinson,False,ACCT-3120,2018,True
ACCT,3120,4,Intermediate Financial Acct II,0.28,0.33,0.33,0.0,0.0,0.0,0.0,0.06,terry daniel knause,False,ACCT-3120,2018,True
ACCT,3120,5,Intermediate Financial Acct II,0.36,0.3,0.23,0.11,0.0,0.0,0.0,0.0,terry daniel knause,False,ACCT-3120,2018,True
ACCT,3120,6,Intermediate Financial Acct II,0.27,0.4,0.2,0.13,0.0,0.0,0.0,0.0,terry daniel knause,False,ACCT-3120,2018,True
ACCT,3130,1,Intermediate Fin Acct III,0.11,0.5,0.21,0.07,0.04,0.0,0.0,0.07, russell madray,False,ACCT-3130,2018,True
ACCT,3130,2,Intermediate Fin Acct III,0.16,0.48,0.3,0.02,0.02,0.0,0.0,0.02, russell madray,False,ACCT-3130,2018,True
ACCT,3130,3,Intermediate Fin Acct III,0.3,0.49,0.16,0.05,0.0,0.0,0.0,0.0, russell madray,False,ACCT-3130,2018,True
ACCT,3130,4,Intermediate Fin Acct III,0.36,0.44,0.15,0.05,0.0,0.0,0.0,0.0, russell madray,False,ACCT-3130,2018,True
ACCT,3220,1,Accounting Information Systems,0.17,0.5,0.17,0.03,0.03,0.0,0.0,0.11,philip maiberger,False,ACCT-3220,2018,True
