Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,1.0,Survey of Art & Arch Hist II,0.52,0.42,0.05,0.0,0.0,0.0,0.0,0.01,beth ann lauritis,False,AAH-1020,2021
AAH,2060,1.0,Art History and Theory II,0.72,0.22,0.06,0.0,0.0,0.0,0.0,0.0,andrea feeser,False,AAH-2060,2021
ACCT,2010,1.0,Financial Accounting Conc,0.35,0.39,0.15,0.05,0.03,0.0,0.0,0.03,lydia schleifer,False,ACCT-2010,2021
ACCT,2010,2.0,Financial Accounting Conc,0.13,0.38,0.31,0.08,0.03,0.0,0.0,0.08,charles tegen,False,ACCT-2010,2021
ACCT,2010,3.0,Financial Accounting Conc,0.25,0.29,0.23,0.17,0.04,0.0,0.0,0.02,annieka philo,False,ACCT-2010,2021
ACCT,2010,4.0,Financial Accounting Conc,0.46,0.24,0.18,0.0,0.08,0.0,0.0,0.04,annieka philo,False,ACCT-2010,2021
ACCT,2010,5.0,Financial Accounting Conc,0.3,0.22,0.18,0.18,0.04,0.0,0.0,0.08,julie grant,False,ACCT-2010,2021
ACCT,2010,6.0,Financial Accounting Conc,0.3,0.16,0.34,0.08,0.08,0.0,0.0,0.04,annieka philo,False,ACCT-2010,2021
ACCT,2010,7.0,Financial Accounting Conc,0.52,0.1,0.22,0.08,0.02,0.0,0.0,0.06,annieka philo,False,ACCT-2010,2021
ACCT,2010,8.0,Financial Accounting Conc,0.44,0.28,0.16,0.1,0.0,0.0,0.0,0.02,julie grant,False,ACCT-2010,2021
ACCT,2010,9.0,Financial Accounting Conc,0.34,0.2,0.24,0.08,0.06,0.0,0.0,0.08,julie grant,False,ACCT-2010,2021
ACCT,2010,10.0,Financial Accounting Conc,0.23,0.33,0.23,0.1,0.02,0.0,0.0,0.08,lisa birtwistle,False,ACCT-2010,2021
ACCT,2010,11.0,Financial Accounting Conc,0.19,0.28,0.33,0.11,0.06,0.0,0.0,0.03,lisa birtwistle,False,ACCT-2010,2021
ACCT,2010,12.0,Financial Accounting Conc,0.14,0.3,0.28,0.08,0.08,0.0,0.0,0.12,jeffrey mcmillan,False,ACCT-2010,2021
ACCT,2010,14.0,Financial Accounting Conc,0.38,0.3,0.18,0.06,0.06,0.0,0.0,0.02,julie grant,False,ACCT-2010,2021
ACCT,2010,111.0,Fin Acct Concepts (HON),0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,lisa birtwistle,True,ACCT-2010,2021
ACCT,2010,400.0,Financial Accounting Conc,0.13,0.31,0.22,0.12,0.04,0.0,0.0,0.16,jeffrey mcmillan,False,ACCT-2010,2021
ACCT,2010,401.0,Financial Accounting Conc,0.17,0.39,0.28,0.07,0.06,0.0,0.0,0.04,emily mccorkle,False,ACCT-2010,2021
ACCT,2010,402.0,Financial Accounting Conc,0.36,0.38,0.21,0.02,0.02,0.0,0.0,0.02,lydia schleifer,False,ACCT-2010,2021
ACCT,2010,403.0,Financial Accounting Conc,0.37,0.37,0.12,0.05,0.05,0.0,0.0,0.05,lydia schleifer,False,ACCT-2010,2021
ACCT,2020,1.0,Managerial Accounting Co,0.15,0.22,0.15,0.1,0.12,0.0,0.0,0.25,brian todd carver,False,ACCT-2020,2021
ACCT,2020,2.0,Managerial Accounting Co,0.26,0.18,0.21,0.16,0.11,0.0,0.0,0.09,brian todd carver,False,ACCT-2020,2021
ACCT,2020,3.0,Managerial Accounting Co,0.22,0.35,0.3,0.11,0.02,0.0,0.0,0.0,robin radtke,False,ACCT-2020,2021
ACCT,2020,4.0,Managerial Accounting Co,0.5,0.24,0.13,0.05,0.08,0.0,0.0,0.0,sarah martin,False,ACCT-2020,2021
ACCT,2020,5.0,Managerial Accounting Co,0.47,0.24,0.24,0.0,0.0,0.0,0.0,0.05,sarah martin,False,ACCT-2020,2021
ACCT,2020,400.0,Managerial Accounting Co,0.2,0.33,0.28,0.1,0.05,0.0,0.0,0.03,emily mccorkle,False,ACCT-2020,2021
ACCT,2020,401.0,Managerial Accounting Co,0.22,0.36,0.29,0.05,0.03,0.0,0.0,0.03,emily mccorkle,False,ACCT-2020,2021
ACCT,2020,402.0,Managerial Accounting Co,0.14,0.34,0.29,0.19,0.03,0.0,0.0,0.02,emily mccorkle,False,ACCT-2020,2021
ACCT,2020,403.0,Managerial Accounting Co,0.08,0.34,0.24,0.18,0.14,0.0,0.0,0.02,emily mccorkle,False,ACCT-2020,2021
ACCT,3030,1.0,Cost Accounting,0.43,0.33,0.18,0.03,0.05,0.0,0.0,0.0,daniel thomas way,False,ACCT-3030,2021
ACCT,3030,2.0,Cost Accounting,0.23,0.41,0.26,0.08,0.0,0.0,0.0,0.03,daniel thomas way,False,ACCT-3030,2021
ACCT,3030,3.0,Cost Accounting,0.28,0.33,0.26,0.08,0.05,0.0,0.0,0.0,phebian davis-culler,False,ACCT-3030,2021
ACCT,3030,4.0,Cost Accounting,0.15,0.35,0.23,0.15,0.05,0.0,0.0,0.08,jace garrett,False,ACCT-3030,2021
ACCT,3030,5.0,Cost Accounting,0.23,0.34,0.32,0.09,0.0,0.0,0.0,0.02,jace garrett,False,ACCT-3030,2021
ACCT,3110,1.0,Intermediate Financial Acc,0.13,0.39,0.24,0.16,0.05,0.0,0.0,0.03,erin hawkins,False,ACCT-3110,2021
ACCT,3110,2.0,Intermediate Financial Acc,0.11,0.42,0.25,0.14,0.06,0.0,0.0,0.03,erin hawkins,False,ACCT-3110,2021
ACCT,3110,3.0,Intermediate Financial Acc,0.17,0.37,0.32,0.05,0.05,0.0,0.0,0.05,erin hawkins,False,ACCT-3110,2021
ACCT,3110,4.0,Intermediate Financial Acc,0.15,0.42,0.27,0.0,0.08,0.0,0.0,0.08,amy donnelly,False,ACCT-3110,2021
ACCT,3110,5.0,Intermediate Financial Acc,0.3,0.39,0.26,0.04,0.0,0.0,0.0,0.0,amy donnelly,False,ACCT-3110,2021
ACCT,3110,6.0,Intermediate Financial Acc,0.23,0.5,0.18,0.08,0.0,0.0,0.0,0.03, russell madray,False,ACCT-3110,2021
ACCT,3110,7.0,Intermediate Financial Acc,0.36,0.29,0.29,0.05,0.02,0.0,0.0,0.0, russell madray,False,ACCT-3110,2021
ACCT,3120,1.0,Intermediate Financial Acc,0.03,0.34,0.37,0.11,0.11,0.0,0.0,0.05, russell madray,False,ACCT-3120,2021
ACCT,3120,2.0,Intermediate Financial Acc,0.19,0.41,0.22,0.05,0.03,0.0,0.0,0.11, russell madray,False,ACCT-3120,2021
ACCT,3120,3.0,Intermediate Financial Acc,0.29,0.26,0.29,0.0,0.09,0.0,0.0,0.06,terry daniel knause,False,ACCT-3120,2021
ACCT,3120,4.0,Intermediate Financial Acc,0.66,0.17,0.14,0.0,0.03,0.0,0.0,0.0,terry daniel knause,False,ACCT-3120,2021
ACCT,3120,5.0,Intermediate Financial Acc,0.62,0.24,0.09,0.0,0.03,0.0,0.0,0.03,terry daniel knause,False,ACCT-3120,2021
ACCT,3120,6.0,Intermediate Financial Acc,0.42,0.36,0.18,0.03,0.0,0.0,0.0,0.0,terry daniel knause,False,ACCT-3120,2021
ACCT,3130,1.0,Analytics for Acct Dec Mak,0.22,0.37,0.3,0.07,0.0,0.0,0.0,0.04,babak mammadov,False,ACCT-3130,2021
ACCT,3130,2.0,Analytics for Acct Dec Mak,0.07,0.41,0.48,0.04,0.0,0.0,0.0,0.0,babak mammadov,False,ACCT-3130,2021
ACCT,3130,3.0,Analytics for Acct Dec Mak,0.17,0.38,0.31,0.14,0.0,0.0,0.0,0.0,babak mammadov,False,ACCT-3130,2021
ACCT,3130,4.0,Analytics for Acct Dec Mak,0.18,0.36,0.29,0.11,0.04,0.0,0.0,0.04,phebian davis-culler,False,ACCT-3130,2021
ACCT,3130,5.0,Analytics for Acct Dec Mak,0.0,0.43,0.43,0.09,0.04,0.0,0.0,0.0,phebian davis-culler,False,ACCT-3130,2021
ACCT,3130,105.0,Analytics for Accounting (H,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,phebian davis-culler,True,ACCT-3130,2021
ACCT,3220,1.0,Accounting Information Sy,0.21,0.33,0.17,0.08,0.04,0.0,0.0,0.17,philip maiberger,False,ACCT-3220,2021
ACCT,3220,2.0,Accounting Information Sy,0.52,0.16,0.12,0.08,0.04,0.0,0.0,0.08,philip maiberger,False,ACCT-3220,2021
ACCT,3220,3.0,Accounting Information Sy,0.16,0.28,0.28,0.24,0.04,0.0,0.0,0.0,philip maiberger,False,ACCT-3220,2021
ACCT,3220,4.0,Accounting Information Sy,0.04,0.21,0.29,0.08,0.13,0.0,0.0,0.25,philip maiberger,False,ACCT-3220,2021
ACCT,4040,1.0,Individual Taxation,0.7,0.15,0.09,0.03,0.03,0.0,0.0,0.0,sarah martin,False,ACCT-4040,2021
ACCT,4040,2.0,Individual Taxation,0.79,0.15,0.03,0.0,0.03,0.0,0.0,0.0,sarah martin,False,ACCT-4040,2021
ACCT,4040,3.0,Individual Taxation,0.56,0.28,0.05,0.05,0.03,0.0,0.0,0.03,lisa birtwistle,False,ACCT-4040,2021
ACCT,4040,4.0,Individual Taxation,0.56,0.33,0.05,0.03,0.0,0.0,0.0,0.03,lisa birtwistle,False,ACCT-4040,2021
ACCT,4100,1.0,Reporting and Mgmt Contr,0.28,0.45,0.25,0.0,0.0,0.0,0.0,0.03,gregory mcphee,False,ACCT-4100,2021
ACCT,4100,2.0,Reporting and Mgmt Contr,0.11,0.5,0.37,0.03,0.0,0.0,0.0,0.0,gregory mcphee,False,ACCT-4100,2021
ACCT,4150,1.0,Auditing,0.3,0.46,0.22,0.0,0.03,0.0,0.0,0.0,jeremy vinson,False,ACCT-4150,2021
ACCT,4150,2.0,Auditing,0.24,0.52,0.24,0.0,0.0,0.0,0.0,0.0,jeremy vinson,False,ACCT-4150,2021
ACCT,8520,1.0,Fin Acct Theory/Res,0.69,0.28,0.03,0.0,0.0,0.0,0.0,0.0,ralph welton,False,ACCT-8520,2021
ACCT,8520,2.0,Fin Acct Theory/Res,0.39,0.61,0.0,0.0,0.0,0.0,0.0,0.0,ralph welton,False,ACCT-8520,2021
ACCT,8540,1.0,Prof Responsibility,0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,james barnes,False,ACCT-8540,2021
ACCT,8540,2.0,Prof Responsibility,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,james barnes,False,ACCT-8540,2021
ACCT,8540,3.0,Prof Responsibility,0.78,0.15,0.04,0.0,0.04,0.0,0.0,0.0,james barnes,False,ACCT-8540,2021
ACCT,8560,1.0,CPA Exam Review-A,0.0,0.0,0.0,0.0,0.0,0.97,0.02,0.01,james barnes,False,ACCT-8560,2021
ACCT,8620,1.0,Financial Auditing,0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,nancy lee harp,False,ACCT-8620,2021
ACCT,8620,2.0,Financial Auditing,0.68,0.32,0.0,0.0,0.0,0.0,0.0,0.0,nancy lee harp,False,ACCT-8620,2021
ACCT,8710,1.0,Corporate Taxation,0.3,0.67,0.03,0.0,0.0,0.0,0.0,0.0,derek dalton,False,ACCT-8710,2021
ACCT,8710,2.0,Corporate Taxation,0.09,0.82,0.09,0.0,0.0,0.0,0.0,0.0,derek dalton,False,ACCT-8710,2021
ACCT,8710,3.0,Corporate Taxation,0.33,0.56,0.07,0.0,0.04,0.0,0.0,0.0,derek dalton,False,ACCT-8710,2021
ACCT,8730,1.0,Intl/Spec Tax Topic,0.51,0.34,0.11,0.0,0.03,0.0,0.0,0.0,"kisska-schulze,",False,ACCT-8730,2021
ACCT,8740,1.0,Tax Aspects of Finan Planni,0.51,0.46,0.0,0.0,0.03,0.0,0.0,0.0,john hine,False,ACCT-8740,2021
AGED,1000,1.0,Orientation & Field Experie,0.83,0.08,0.0,0.0,0.0,0.0,0.0,0.08,philip fravel,False,AGED-1000,2021
AGED,2030,1.0,Teaching Agriscience,0.38,0.44,0.13,0.06,0.0,0.0,0.0,0.0,"dibenedetto,",False,AGED-2030,2021
AGED,4160,1.0,Ethics and Issues,0.85,0.08,0.0,0.0,0.0,0.0,0.0,0.0, kirby player,False,AGED-4160,2021
AGED,4800,1.0,Digital Media & Learning,0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,kevin layfield,False,AGED-4800,2021
AGM,2050,1.0,Prin of Fabrication,0.26,0.6,0.12,0.0,0.02,0.0,0.0,0.0,hunter massey,False,AGM-2050,2021
AGM,2050,1.0,Prin of Fabrication,0.26,0.6,0.12,0.0,0.02,0.0,0.0,0.0,hunter massey,False,AGM-2050,2021
AGM,2060,1.0,Machinery Mgt,0.05,0.37,0.26,0.11,0.16,0.0,0.0,0.05,hunter massey,False,AGM-2060,2021
