Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
ACCT,3110,1,Intermediate Financial Acct I,0.14,0.29,0.18,0.11,0.21,0.0,0.0,0.07,erin michel hawkins,False,ACCT-3110,2019
ACCT,3110,2,Intermediate Financial Acct I,0.19,0.31,0.23,0.08,0.15,0.0,0.0,0.04,erin michel hawkins,False,ACCT-3110,2019
ACCT,3110,3,Intermediate Financial Acct I,0.23,0.26,0.32,0.03,0.03,0.0,0.0,0.13,amy meliss donnelly,False,ACCT-3110,2019
ACCT,3110,4,Intermediate Financial Acct I,0.28,0.38,0.22,0.09,0.0,0.0,0.0,0.03,amy meliss donnelly,False,ACCT-3110,2019
ACCT,3110,5,Intermediate Financial Acct I,0.1,0.42,0.35,0.03,0.0,0.0,0.0,0.1,brian matth goodson,False,ACCT-3110,2019
ACCT,3110,6,Intermediate Financial Acct I,0.17,0.23,0.37,0.07,0.0,0.0,0.0,0.17,brian matth goodson,False,ACCT-3110,2019
ACCT,3110,401,Intermediate Financial Acct I,0.32,0.22,0.2,0.02,0.05,0.0,0.0,0.2,henry anderson,False,ACCT-3110,2019
ACCT,3120,1,Intermediate Financial Acct II,0.16,0.21,0.32,0.11,0.05,0.0,0.0,0.16,jeremy micha vinson,False,ACCT-3120,2019
ACCT,3120,2,Intermediate Financial Acct II,0.35,0.26,0.29,0.06,0.0,0.0,0.0,0.03,jeremy micha vinson,False,ACCT-3120,2019
ACCT,3120,3,Intermediate Financial Acct II,0.41,0.45,0.1,0.0,0.0,0.0,0.0,0.03,terry daniel knause,False,ACCT-3120,2019
ACCT,3120,4,Intermediate Financial Acct II,0.29,0.53,0.12,0.0,0.03,0.0,0.0,0.03,terry daniel knause,False,ACCT-3120,2019
ACCT,3120,5,Intermediate Financial Acct II,0.14,0.48,0.29,0.0,0.0,0.0,0.0,0.1,terry daniel knause,False,ACCT-3120,2019
ACCT,3120,6,Intermediate Financial Acct II,0.32,0.42,0.16,0.0,0.03,0.0,0.0,0.06,terry daniel knause,False,ACCT-3120,2019
ACCT,3120,101,Intermed Fin Acct II (HON),0.67,0.25,0.08,0.0,0.0,0.0,0.0,0.0,terry daniel knause,True,ACCT-3120,2019
ACCT,3130,1,Intermediate Fin Acct III,0.24,0.5,0.24,0.0,0.0,0.0,0.0,0.02, russell madray,False,ACCT-3130,2019
ACCT,3130,2,Intermediate Fin Acct III,0.22,0.44,0.2,0.1,0.02,0.0,0.0,0.02, russell madray,False,ACCT-3130,2019
ACCT,3130,3,Intermediate Fin Acct III,0.38,0.43,0.17,0.02,0.0,0.0,0.0,0.0, russell madray,False,ACCT-3130,2019
ACCT,3130,4,Intermediate Fin Acct III,0.45,0.42,0.09,0.03,0.0,0.0,0.0,0.0, russell madray,False,ACCT-3130,2019
ACCT,3130,101,Intermed Fin Acct III (HON),0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0, russell madray,True,ACCT-3130,2019
ACCT,3220,1,Accounting Information Systems,0.08,0.25,0.38,0.08,0.04,0.0,0.0,0.17,philip maiberger,False,ACCT-3220,2019
ACCT,3220,2,Accounting Information Systems,0.04,0.48,0.3,0.09,0.04,0.0,0.0,0.04,philip maiberger,False,ACCT-3220,2019
ACCT,3220,3,Accounting Information Systems,0.21,0.38,0.25,0.08,0.04,0.0,0.0,0.04,philip maiberger,False,ACCT-3220,2019
ACCT,3220,4,Accounting Information Systems,0.1,0.38,0.29,0.0,0.0,0.0,0.1,0.14,philip maiberger,False,ACCT-3220,2019
ACCT,4040,1,Individual Taxation,0.45,0.36,0.12,0.06,0.0,0.0,0.0,0.0,sarah martin,False,ACCT-4040,2019
ACCT,4040,2,Individual Taxation,0.38,0.35,0.18,0.05,0.03,0.0,0.0,0.03,sarah martin,False,ACCT-4040,2019
ACCT,4040,3,Individual Taxation,0.24,0.53,0.16,0.05,0.0,0.0,0.0,0.03,lisa whe birtwistle,False,ACCT-4040,2019
ACCT,4040,4,Individual Taxation,0.27,0.27,0.27,0.16,0.03,0.0,0.0,0.0,lisa whe birtwistle,False,ACCT-4040,2019
ACCT,4040,101,Individual Taxation (HON),0.88,0.13,0.0,0.0,0.0,0.0,0.0,0.0,sarah martin,True,ACCT-4040,2019
ACCT,4100,1,Reporting and Mgmt Control Sys,0.62,0.31,0.07,0.0,0.0,0.0,0.0,0.0,frances kennedy,False,ACCT-4100,2019
ACCT,4100,2,Reporting and Mgmt Control Sys,0.79,0.18,0.04,0.0,0.0,0.0,0.0,0.0,frances kennedy,False,ACCT-4100,2019
ACCT,4100,3,Reporting and Mgmt Control Sys,0.33,0.5,0.13,0.03,0.0,0.0,0.0,0.0,gregory patr mcphee,False,ACCT-4100,2019
ACCT,4150,1,Auditing,0.08,0.42,0.44,0.06,0.0,0.0,0.0,0.0,carl hollingsworth,False,ACCT-4150,2019
ACCT,4150,2,Auditing,0.26,0.31,0.28,0.15,0.0,0.0,0.0,0.0,carl hollingsworth,False,ACCT-4150,2019
ACCT,8520,1,Fin Acct Theory/Res,0.13,0.52,0.32,0.0,0.03,0.0,0.0,0.0,ralph edward welton,False,ACCT-8520,2019
ACCT,8520,2,Fin Acct Theory/Res,0.28,0.59,0.14,0.0,0.0,0.0,0.0,0.0,ralph edward welton,False,ACCT-8520,2019
ACCT,8540,1,Prof Responsibility,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,robin radtke,False,ACCT-8540,2019
ACCT,8540,2,Prof Responsibility,0.58,0.39,0.03,0.0,0.0,0.0,0.0,0.0,robin radtke,False,ACCT-8540,2019
ACCT,8540,3,Prof Responsibility,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,robin radtke,False,ACCT-8540,2019
ACCT,8620,1,Financial Auditing,0.47,0.53,0.0,0.0,0.0,0.0,0.0,0.0,nancy lee harp,False,ACCT-8620,2019
ACCT,8620,2,Financial Auditing,0.68,0.32,0.0,0.0,0.0,0.0,0.0,0.0,nancy lee harp,False,ACCT-8620,2019
ACCT,8710,1,Corporate Taxation,0.3,0.61,0.09,0.0,0.0,0.0,0.0,0.0,derek dalton,False,ACCT-8710,2019
ACCT,8710,2,Corporate Taxation,0.49,0.44,0.08,0.0,0.0,0.0,0.0,0.0,derek dalton,False,ACCT-8710,2019
ACCT,8710,3,Corporate Taxation,0.46,0.43,0.11,0.0,0.0,0.0,0.0,0.0,derek dalton,False,ACCT-8710,2019
ACCT,8730,1,Intl/Spec Tax Topic,0.48,0.39,0.13,0.0,0.0,0.0,0.0,0.0,kath kisska-schulze,False,ACCT-8730,2019
ACCT,8740,1,Tax Aspects of Finan Planning,0.41,0.59,0.0,0.0,0.0,0.0,0.0,0.0,judson jahn,False,ACCT-8740,2019
AGED,1000,1,Orientation & Field Experience,0.72,0.17,0.0,0.0,0.06,0.0,0.0,0.06,philip fravel,False,AGED-1000,2019
AGED,2030,1,Teaching Agriscience,0.38,0.54,0.0,0.0,0.0,0.0,0.0,0.08,catheri dibenedetto,False,AGED-2030,2019
AGED,8890,1,Intro to Res in Ed,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,alex byrd,False,AGED-8890,2019
AGM,2050,1,Prin of Fabrication,0.29,0.42,0.11,0.05,0.08,0.0,0.0,0.05,hunter massey,False,AGM-2050,2019
AGM,2060,1,Machinery Mgt,0.28,0.48,0.12,0.04,0.04,0.0,0.0,0.04,hunter massey,False,AGM-2060,2019
AGM,2200,1,Calc for Mechanized Agricult,0.37,0.34,0.21,0.05,0.0,0.0,0.0,0.03,aaron paul turner,False,AGM-2200,2019
AGM,2210,1,Land Measurements,0.6,0.26,0.13,0.01,0.0,0.0,0.0,0.0,robert gord hammond,False,AGM-2210,2019
AGM,2210,1,Land Measurements,0.6,0.26,0.13,0.01,0.0,0.0,0.0,0.0,charles privette,False,AGM-2210,2019
AGM,4020,1,Irrigation System Design,0.26,0.51,0.23,0.0,0.0,0.0,0.0,0.0,charles privette,False,AGM-4020,2019
AGM,4100,1,Precision Ag Tech,0.36,0.43,0.15,0.06,0.0,0.0,0.0,0.0,hunter massey,False,AGM-4100,2019
AGM,4520,1,Mobile Power,0.5,0.39,0.05,0.0,0.03,0.0,0.0,0.03,ali bulent koc,False,AGM-4520,2019
AGM,4720,1,Capstone,0.68,0.28,0.04,0.0,0.0,0.0,0.0,0.0,john chastain,False,AGM-4720,2019
AGRB,2020,1,Agricultural Economics,0.34,0.37,0.14,0.08,0.07,0.0,0.0,0.0,george apperson,False,AGRB-2020,2019
AGRB,2050,1,Agriculture and Society,0.18,0.48,0.22,0.06,0.03,0.0,0.0,0.03,george apperson,False,AGRB-2050,2019
AGRB,3080,1,Quant Agribusiness Analysis I,0.15,0.42,0.18,0.15,0.03,0.0,0.0,0.06,lisha zhang,False,AGRB-3080,2019
AGRB,3190,1,Agribusiness Management,0.2,0.19,0.3,0.16,0.04,0.0,0.0,0.11,michael vassalos,False,AGRB-3190,2019
AGRB,3510,1,Prin of Agricultural Sales Mgt,0.06,0.5,0.38,0.03,0.03,0.0,0.0,0.0,george apperson,False,AGRB-3510,2019
AGRB,3570,1,Natural Resources Economics,0.21,0.23,0.36,0.17,0.0,0.0,0.0,0.02,david brian willis,False,AGRB-3570,2019
AGRB,4020,1,Production Economics,0.23,0.38,0.0,0.31,0.0,0.0,0.0,0.08,michael vassalos,False,AGRB-4020,2019
AGRB,4080,1,Quant Agribusiness Analysis II,0.42,0.33,0.21,0.02,0.02,0.0,0.0,0.0,lisha zhang,False,AGRB-4080,2019
AGRB,4560,1,Prices,0.43,0.4,0.12,0.05,0.0,0.0,0.0,0.0,yuliya val bolotova,False,AGRB-4560,2019
AL,3490,400,Principles of Coaching,0.71,0.21,0.08,0.0,0.0,0.0,0.0,0.0,deborah cadorette,False,AL-3490,2019
AL,3490,401,Principles of Coaching,0.61,0.29,0.11,0.0,0.0,0.0,0.0,0.0,deborah cadorette,False,AL-3490,2019
AL,3490,402,Principles of Coaching,0.7,0.11,0.04,0.04,0.04,0.0,0.0,0.07,frank mezzanotte,False,AL-3490,2019
AL,3490,403,Principles of Coaching,0.6,0.28,0.04,0.08,0.0,0.0,0.0,0.0,clyde keith connor,False,AL-3490,2019
AL,3490,404,Principles of Coaching,0.89,0.07,0.04,0.0,0.0,0.0,0.0,0.0,nicholas ph whitrow,False,AL-3490,2019
AL,3490,406,Principles of Coaching,0.6,0.28,0.08,0.0,0.0,0.0,0.0,0.04,john plumblee,False,AL-3490,2019
AL,3490,407,Principles of Coaching,0.72,0.12,0.16,0.0,0.0,0.0,0.0,0.0,john plumblee,False,AL-3490,2019
AL,3490,408,Principles of Coaching,0.84,0.04,0.08,0.0,0.0,0.0,0.0,0.04,nicholas ph whitrow,False,AL-3490,2019
AL,3490,409,Principles of Coaching,0.88,0.08,0.0,0.0,0.04,0.0,0.0,0.0,nicholas ph whitrow,False,AL-3490,2019
AL,3490,410,Principles of Coaching,0.81,0.15,0.04,0.0,0.0,0.0,0.0,0.0,edmond fry,False,AL-3490,2019
AL,3500,400,Sci Basis I/Ex Phy,0.2,0.24,0.28,0.2,0.04,0.0,0.0,0.04,michael godfrey,False,AL-3500,2019
AL,3500,401,Sci Basis I/Ex Phy,0.19,0.26,0.33,0.15,0.04,0.0,0.0,0.04,michael godfrey,False,AL-3500,2019
AL,3520,400,Kinesiology,0.27,0.13,0.0,0.2,0.2,0.0,0.0,0.2,isaac sean colbert,False,AL-3520,2019
AL,3530,400,Athletic Injuries,0.12,0.32,0.48,0.04,0.04,0.0,0.0,0.0,isaac sean colbert,False,AL-3530,2019
AL,3530,401,Athletic Injuries,0.16,0.32,0.4,0.08,0.04,0.0,0.0,0.0,isaac sean colbert,False,AL-3530,2019
AL,3600,400,Hgh Sch Athl Ethical/Legal Iss,0.36,0.36,0.24,0.04,0.0,0.0,0.0,0.0,clyde keith connor,False,AL-3600,2019
AL,3610,400,Admin/Org of Athletic Programs,0.81,0.15,0.04,0.0,0.0,0.0,0.0,0.0,henry oates,False,AL-3610,2019
AL,3610,401,Admin/Org of Athletic Programs,0.78,0.19,0.04,0.0,0.0,0.0,0.0,0.0,henry oates,False,AL-3610,2019
AL,3610,402,Admin/Org of Athletic Programs,0.83,0.08,0.04,0.0,0.04,0.0,0.0,0.0,henry oates,False,AL-3610,2019
AL,3620,400,Psychology of Coaching,0.24,0.36,0.32,0.0,0.04,0.0,0.0,0.04,natalie anne carter,False,AL-3620,2019
AL,3620,401,Psychology of Coaching,0.36,0.36,0.2,0.04,0.0,0.0,0.0,0.04,natalie anne carter,False,AL-3620,2019
AL,3620,402,Psychology of Coaching,0.38,0.25,0.29,0.0,0.04,0.0,0.0,0.04,natalie anne carter,False,AL-3620,2019
AL,3710,400,Coaching Baseball,0.55,0.3,0.05,0.0,0.0,0.0,0.0,0.1,deborah cadorette,False,AL-3710,2019
AL,3720,400,Coaching Basketball,0.72,0.12,0.08,0.04,0.04,0.0,0.0,0.0,edmond fry,False,AL-3720,2019
AL,3740,400,Coaching Football,0.48,0.24,0.2,0.08,0.0,0.0,0.0,0.0,edmond fry,False,AL-3740,2019
AL,3750,400,Coaching Soccer,0.72,0.24,0.0,0.0,0.0,0.0,0.0,0.04,deborah cadorette,False,AL-3750,2019
AL,3760,400,Coaching Strength/Conditioning,0.56,0.19,0.19,0.04,0.0,0.0,0.0,0.04,edmond fry,False,AL-3760,2019
AL,3760,401,Coaching Strength/Conditioning,0.58,0.21,0.08,0.0,0.08,0.0,0.0,0.04,edmond fry,False,AL-3760,2019
AL,4380,401,Officiating in Athl Leadership,0.68,0.16,0.08,0.04,0.04,0.0,0.0,0.0,clyde keith connor,False,AL-4380,2019
AL,4380,403,Social Issues,0.85,0.15,0.0,0.0,0.0,0.0,0.0,0.0,misty soles,False,AL-4380,2019
AL,4490,400,Athlete Beliefs,0.41,0.3,0.15,0.15,0.0,0.0,0.0,0.0,deborah cadorette,False,AL-4490,2019
AL,4490,401,Athlete Beliefs,0.58,0.21,0.08,0.04,0.08,0.0,0.0,0.0,deborah cadorette,False,AL-4490,2019
AL,8380,400,Intercoll Ath Personnel Mgm,0.85,0.07,0.04,0.0,0.04,0.0,0.0,0.0,kyle mclendon young,False,AL-8380,2019
AL,8530,400,Legal Iss in Intercoll Athlet,0.81,0.15,0.0,0.0,0.0,0.0,0.0,0.04,misty soles,False,AL-8530,2019
AL,8630,400,Socio Dynam in Intercol Athlet,0.6,0.32,0.04,0.0,0.0,0.0,0.0,0.04,michael godfrey,False,AL-8630,2019
AL,8630,401,Socio Dynam in Intercol Athlet,0.58,0.26,0.11,0.0,0.05,0.0,0.0,0.0,michael godfrey,False,AL-8630,2019
AL,8640,400,Ethical Iss in Collegiate Athl,0.85,0.11,0.04,0.0,0.0,0.0,0.0,0.0,janna there magette,False,AL-8640,2019
AL,8640,401,Ethical Iss in Collegiate Athl,0.69,0.19,0.08,0.0,0.0,0.0,0.0,0.04,janna there magette,False,AL-8640,2019
AL,8700,400,Intercoll Athletics Finance,0.84,0.12,0.0,0.0,0.0,0.0,0.0,0.04,misty soles,False,AL-8700,2019
AL,8700,401,Intercoll Athletics Finance,0.87,0.07,0.0,0.0,0.07,0.0,0.0,0.0,misty soles,False,AL-8700,2019
ANTH,2010,1,Introduction to Anthropology,0.36,0.56,0.07,0.0,0.0,0.0,0.0,0.01,david markus,False,ANTH-2010,2019
ANTH,2010,2,Introduction to Anthropology,0.25,0.64,0.07,0.01,0.0,0.0,0.0,0.02,david markus,False,ANTH-2010,2019
ANTH,2010,3,Introduction to Anthropology,0.46,0.32,0.05,0.04,0.04,0.0,0.0,0.11,lisa rapaport,False,ANTH-2010,2019
ANTH,2010,4,Introduction to Anthropology,0.47,0.31,0.14,0.03,0.02,0.0,0.0,0.03,yi wu,False,ANTH-2010,2019
ANTH,3010,1,Cultural Anthropology,0.07,0.32,0.43,0.14,0.0,0.0,0.04,0.0,john coggeshall,False,ANTH-3010,2019
