Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year,NameProcessed
AAH,1010,1,Survey of Art & Arch History I,0.42,0.45,0.11,0.01,0.01,0.0,0.0,0.0,beth ann lauritis,False,AAH-1010,2018,True
AAH,2050,1,Art History and Theory I,0.73,0.2,0.0,0.0,0.0,0.0,0.0,0.07,beth ann lauritis,False,AAH-2050,2018,True
AAH,3050,1,Contemporary Art History,0.76,0.24,0.0,0.0,0.0,0.0,0.0,0.0,andrea feeser,False,AAH-3050,2018,True
ACCT,2010,1,Financial Accounting Concepts,0.09,0.36,0.27,0.02,0.09,0.0,0.0,0.18,lydia lanc schleifer,False,ACCT-2010,2018,True
ACCT,2010,2,Financial Accounting Concepts,0.28,0.23,0.23,0.13,0.04,0.0,0.0,0.09,emily suzan mccorkle,False,ACCT-2010,2018,True
ACCT,2010,3,Financial Accounting Concepts,0.33,0.48,0.13,0.08,0.0,0.0,0.0,0.0,emily suzan mccorkle,False,ACCT-2010,2018,True
ACCT,2010,4,Financial Accounting Concepts,0.36,0.28,0.21,0.04,0.09,0.0,0.0,0.02,annieka philo,False,ACCT-2010,2018,True
ACCT,2010,5,Financial Accounting Concepts,0.33,0.23,0.19,0.02,0.13,0.0,0.0,0.1,lydia lanc schleifer,False,ACCT-2010,2018,True
ACCT,2010,6,Financial Accounting Concepts,0.24,0.26,0.29,0.07,0.1,0.0,0.0,0.05,annieka philo,False,ACCT-2010,2018,True
ACCT,2010,7,Financial Accounting Concepts,0.17,0.4,0.19,0.07,0.05,0.0,0.0,0.12,emily suzan mccorkle,False,ACCT-2010,2018,True
ACCT,2010,8,Financial Accounting Concepts,0.21,0.35,0.19,0.1,0.04,0.0,0.0,0.1,lydia lanc schleifer,False,ACCT-2010,2018,True
ACCT,2010,9,Financial Accounting Concepts,0.26,0.41,0.21,0.08,0.0,0.0,0.0,0.05,annieka philo,False,ACCT-2010,2018,True
ACCT,2010,10,Financial Accounting Concepts,0.3,0.25,0.23,0.05,0.18,0.0,0.0,0.0,emily suzan mccorkle,False,ACCT-2010,2018,True
ACCT,2010,11,Financial Accounting Concepts,0.16,0.42,0.16,0.05,0.11,0.0,0.0,0.11,charles tegen,False,ACCT-2010,2018,True
ACCT,2010,12,Financial Accounting Concepts,0.26,0.24,0.29,0.08,0.03,0.0,0.0,0.11,philip maiberger,False,ACCT-2010,2018,True
ACCT,2010,13,Financial Accounting Concepts,0.23,0.28,0.36,0.05,0.05,0.0,0.0,0.03,lisa whea birtwistle,False,ACCT-2010,2018,True
ACCT,2010,14,Financial Accounting Concepts,0.37,0.37,0.17,0.07,0.0,0.0,0.0,0.02,lisa whea birtwistle,False,ACCT-2010,2018,True
ACCT,2010,100,Fin Accounting Concepts (HON),0.88,0.06,0.06,0.0,0.0,0.0,0.0,0.0,lisa whea birtwistle,True,ACCT-2010,2018,True
ACCT,2010,400,Financial Accounting Concepts,0.19,0.43,0.16,0.09,0.07,0.0,0.0,0.06,jeffrey mcmillan,False,ACCT-2010,2018,True
ACCT,2020,1,Managerial Accounting Concepts,0.14,0.2,0.37,0.03,0.09,0.0,0.0,0.17,henry anderson,False,ACCT-2020,2018,True
ACCT,2020,2,Managerial Accounting Concepts,0.25,0.45,0.14,0.05,0.02,0.0,0.0,0.09,henry anderson,False,ACCT-2020,2018,True
ACCT,2020,3,Managerial Accounting Concepts,0.36,0.24,0.18,0.0,0.09,0.0,0.0,0.13,henry anderson,False,ACCT-2020,2018,True
ACCT,2020,4,Managerial Accounting Concepts,0.19,0.35,0.16,0.22,0.0,0.0,0.0,0.08,brian todd carver,False,ACCT-2020,2018,True
ACCT,2020,5,Managerial Accounting Concepts,0.24,0.22,0.2,0.07,0.18,0.0,0.0,0.09,brian todd carver,False,ACCT-2020,2018,True
ACCT,2020,6,Managerial Accounting Concepts,0.11,0.3,0.27,0.09,0.02,0.0,0.0,0.2,brian todd carver,False,ACCT-2020,2018,True
ACCT,2020,7,Managerial Accounting Concepts,0.25,0.29,0.33,0.04,0.02,0.0,0.0,0.06,phebian davis-culler,False,ACCT-2020,2018,True
ACCT,2020,400,Managerial Accounting Concepts,0.25,0.36,0.2,0.09,0.04,0.0,0.0,0.06,henry anderson,False,ACCT-2020,2018,True
ACCT,3030,3,Cost Accounting,0.45,0.37,0.08,0.0,0.08,0.0,0.0,0.02,phebian davis-culler,False,ACCT-3030,2018,True
ACCT,3030,4,Cost Accounting,0.21,0.28,0.3,0.12,0.07,0.0,0.0,0.02,phebian davis-culler,False,ACCT-3030,2018,True
ACCT,3110,1,Intermediate Financial Acct I,0.1,0.33,0.25,0.17,0.08,0.0,0.0,0.06,erin michell hawkins,False,ACCT-3110,2018,True
ACCT,3110,2,Intermediate Financial Acct I,0.16,0.29,0.24,0.13,0.11,0.0,0.0,0.07,erin michell hawkins,False,ACCT-3110,2018,True
ACCT,3110,3,Intermediate Financial Acct I,0.14,0.44,0.23,0.12,0.02,0.0,0.0,0.05,amy melissa donnelly,False,ACCT-3110,2018,True
ACCT,3110,4,Intermediate Financial Acct I,0.09,0.55,0.21,0.06,0.02,0.0,0.0,0.06,amy melissa donnelly,False,ACCT-3110,2018,True
ACCT,3110,400,Intermediate Financial Acct I,0.21,0.35,0.13,0.04,0.08,0.0,0.0,0.19,henry anderson,False,ACCT-3110,2018,True
ACCT,3120,1,Intermediate Financial Acct II,0.58,0.42,0.0,0.0,0.0,0.0,0.0,0.0,terry daniel knause,False,ACCT-3120,2018,True
ACCT,3120,2,Intermediate Financial Acct II,0.1,0.34,0.37,0.07,0.1,0.0,0.0,0.02,jeremy michae vinson,False,ACCT-3120,2018,True
ACCT,3120,3,Intermediate Financial Acct II,0.38,0.41,0.21,0.0,0.0,0.0,0.0,0.0,terry daniel knause,False,ACCT-3120,2018,True
ACCT,3120,4,Intermediate Financial Acct II,0.35,0.35,0.25,0.03,0.0,0.0,0.0,0.03,jeremy michae vinson,False,ACCT-3120,2018,True
ACCT,3120,5,Intermediate Financial Acct II,0.26,0.42,0.26,0.0,0.0,0.0,0.0,0.05,terry daniel knause,False,ACCT-3120,2018,True
ACCT,3120,6,Intermediate Financial Acct II,0.33,0.49,0.18,0.0,0.0,0.0,0.0,0.0,terry daniel knause,False,ACCT-3120,2018,True
